"city","country","pop2024","latitude","longitude"
"Fort St. John","Canada",17402,56.2499,-120.853
"Saint-Augustin-de-Desmaures","Canada",17281,46.7406,-71.4513
"Conception Bay South","Canada",17087,47.4999,-52.9981
"Saint-Lazare","Canada",17016,45.4001,-74.1326
"Sainte-Catherine","Canada",16762,45.4001,-73.5825
"L'Assomption","Canada",16738,45.8232,-73.4294
"Edmundston","Canada",16643,47.3737,-68.3251
"L'Ancienne-Lorette","Canada",16516,46.7939,-71.3519
"Cochrane","Canada",16365,51.1834,-114.469
"Lutes Mountain","Canada",16311,46.1354,-64.905
"Sainte-Catherine","Canada",16211,46.3184,-72.5663
"Salmon Arm","Canada",16205,50.6998,-119.302
"Rayside-Balfour","Canada",16050,46.6087,-81.2076
"Petawawa","Canada",15988,45.8945,-77.2801
"Fort Erie","Canada",15953,42.9001,-78.9329
"Candiac","Canada",15947,45.3834,-73.5159
"Yellowknife","Canada",15865,62.4541,-114.372
"Collingwood","Canada",15809,44.4834,-80.2164
"Mont-Saint-Hilaire","Canada",15720,45.5652,-73.1868
"Camrose","Canada",15686,53.0168,-112.835
"Yorkton","Canada",15669,51.2167,-102.468
"Saint-Basile-le-Grand","Canada",15605,45.5334,-73.2825
"Leduc","Canada",15561,53.2668,-113.552
"Pembroke","Canada",15551,45.8168,-77.1162
"Magog","Canada",15550,45.2668,-72.1491
"Greater Napanee","Canada",15132,44.2501,-76.9494
"Kenora","Canada",15096,49.7674,-94.4899
"le Plateau","Canada",15000,45.4351,-75.7803
"Fort Saskatchewan","Canada",14957,53.7168,-113.219
"Okotoks","Canada",14826,50.7289,-113.983
"Gaspe","Canada",14819,48.8334,-64.4819
"Matane","Canada",14812,48.8286,-67.522
"Summerside","Canada",14808,46.3959,-63.7876
"Prince Rupert","Canada",14708,54.3151,-130.321
"Swift Current","Canada",14703,50.2834,-107.801
"Colwood","Canada",14687,48.4329,-123.486
"Rosemere","Canada",14173,45.6334,-73.7992
"Williams Lake","Canada",14168,52.1415,-122.145
"Saint-Lin-Laurentides","Canada",14159,45.8501,-73.7659
"Simcoe","Canada",13922,42.8334,-80.2997
"Quesnel","Canada",13788,52.9784,-122.493
"Bay Roberts","Canada",13737,47.5999,-53.2648
"Mont-Laurier","Canada",13405,46.5501,-75.4993
"Portage la Prairie","Canada",12957,49.9728,-98.2926
"Dolbeau-Mistassini","Canada",12916,48.8786,-72.2314
"Powell River","Canada",12779,49.8328,-124.524
"Brooks","Canada",12744,50.5834,-111.885
"Bathurst","Canada",12714,47.6181,-65.6511
"Kentville","Canada",12636,45.0771,-64.496
"Elliot Lake","Canada",12508,46.3834,-82.6331
"Thompson","Canada",12467,55.7435,-97.8558
"Aldergrove","Canada",12363,49.058,-122.471
"Canmore","Canada",12288,51.0834,-115.352
"Hawkesbury","Canada",12283,45.6001,-74.616
"North Perth","Canada",12254,43.7251,-80.9672
"Grand Falls-Windsor","Canada",12076,48.9332,-55.6649
"Parksville","Canada",12000,49.3195,-124.316
"Beauharnois","Canada",11918,45.3134,-73.8725
"Ingersoll","Canada",11874,43.0334,-80.883
"Montmagny","Canada",11724,46.9804,-70.5549
"Cold Lake","Canada",11595,54.4652,-110.182
"Sainte-Marie","Canada",11584,46.434,-71.0117
"Uxbridge","Canada",11531,44.1001,-79.1163
"Fall River","Canada",11526,44.8168,-63.6154
"Amherstburg","Canada",11459,42.1168,-83.0499
"Sainte-Marthe-sur-le-Lac","Canada",11311,45.5334,-73.9325
"Wetaskiwin","Canada",11302,52.9668,-113.369
"Pincourt","Canada",11197,45.3834,-73.9825
"Paris","Canada",11177,43.2,-80.3833
"Becancour","Canada",11134,46.3334,-72.4324
"North Saanich","Canada",11089,48.6663,-123.419
"Cowansville","Canada",10887,45.2001,-72.7491
"Dawson Creek","Canada",10802,55.7598,-120.24
"Sainte-Anne-des-Plaines","Canada",10680,45.7647,-73.8116
"Lambton Shores","Canada",10656,43.1668,-81.9331
"Sainte-Adele","Canada",10634,45.9501,-74.1325
"Les Coteaux","Canada",10622,45.2834,-74.2325
"Whistler","Canada",10600,50.1164,-122.969
"Smiths Falls","Canada",10553,44.9045,-76.0233
"Sylvan Lake","Canada",10518,52.311,-114.084
"Temiskaming Shores","Canada",10442,47.4938,-79.7153
"Cantley","Canada",10412,45.5668,-75.7827
"Rawdon","Canada",10400,46.0501,-73.7159
"Labrador City","Canada",10313,52.9463,-66.9114
"Angus","Canada",10269,44.3168,-79.8829
"Prevost","Canada",10132,45.8668,-74.0825
"Mercier","Canada",10121,45.3168,-73.7492
"Lacombe","Canada",10059,52.4668,-113.735
"Strathmore","Canada",10009,51.0501,-113.385
"Hanceville","Canada",10000,51.9192,-123.045
"South Huron","Canada",9982,43.3168,-81.5165
"Bells Corners","Canada",9977,45.3159,-75.8301
"L'Ile-Perrot","Canada",9927,45.3834,-73.9492
"Estevan","Canada",9904,49.1334,-102.984
"Hinton","Canada",9889,53.4001,-117.586
"Notre-Dame-de-l'Ile-Perrot","Canada",9885,45.3668,-73.9325
"High River","Canada",9826,50.5834,-113.869
"Nelson","Canada",9813,49.4999,-117.286
"Carleton Place","Canada",9743,45.1334,-76.1494
"Trail","Canada",9707,49.0998,-117.702
"Selkirk","Canada",9653,50.1436,-96.8845
"Lorraine","Canada",9613,45.6834,-73.7825
"Arnprior","Canada",9607,45.4334,-76.3494
